Player ,Age,G - 2023,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G - 2022,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sophie Cunningham,26,31,31,29,3.6,8.7,0.413,1.9,5.5,0.337,1.7,3.1,0.546,2.3,2.6,0.875,0.5,2.3,2.8,2.1,0.6,0.4,1.5,3.2,11.3,28,20,29.5,4.3,9.5,0.449,2.5,6.3,0.4,1.8,3.3,0.543,1.5,1.7,0.875,0.7,3.7,4.4,1.6,1,0.4,1,3.4,12.6
Brittney Griner,32,31,31,27.6,7.1,12.6,0.562,0,0.3,0.111,7,12.3,0.572,3.4,4.4,0.772,1.2,5.1,6.3,2.2,0.5,1.6,2.1,2.1,17.5,,,,,,,,,,,,,,,,,,,,,,,,
Diana Taurasi,41,26,26,27.3,4.9,12.2,0.403,2.5,7.2,0.342,2.5,5,0.489,3.7,4.3,0.848,0.1,3.5,3.6,4.6,0.5,0.5,3,2.6,16,31,31,31,4.8,13,0.373,3,8.8,0.337,1.9,4.2,0.45,4.1,4.6,0.894,0.3,3.2,3.4,3.8,0.7,0.6,2.7,2.9,16.7
Brianna Turner,26,40,33,26.3,1.7,2.6,0.65,0,0,,1.7,2.6,0.65,0.2,0.3,0.5,1.3,5.1,6.3,1.3,1,1.1,1.5,2.2,3.5,35,35,33.4,1.9,3.2,0.607,0,0,,1.9,3.2,0.607,0.4,0.9,0.5,2,4.8,6.8,2.3,1.2,1.6,1.4,2.3,4.3
Sug Sutton,24,40,12,26.3,3.2,8.2,0.384,0.8,2.3,0.333,2.4,6,0.403,1.2,1.4,0.807,0.4,2.2,2.6,4.8,0.7,0.1,2.5,1.6,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Moriah Jefferson,29,39,36,24.9,4.2,9.7,0.434,1,2.7,0.355,3.3,7,0.465,1.1,1.3,0.82,0.2,1.7,2,3.6,1.1,0.2,1.6,2.2,10.5,,,,,,,,,,,,,,,,,,,,,,,,
Michaela Onyenwere,23,40,27,23.8,3.3,8.1,0.404,0.9,2.8,0.315,2.4,5.3,0.45,1.5,2,0.759,1.2,2.5,3.7,1.3,0.8,0.5,2,2.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,
Shey Peddy,34,18,0,15.8,1.7,4.7,0.369,0.9,2.6,0.348,0.8,2.1,0.395,0.9,1.1,0.8,0.4,1.4,1.8,1.8,0.9,0,0.6,1.7,5.2,34,24,28.6,3.4,8.2,0.418,1.4,4.3,0.329,2,3.9,0.515,1.6,1.9,0.889,1.3,2.4,3.8,3.4,1.6,0.2,1.4,1.8,9.9
Megan Gustafson,26,34,4,15.1,3,5.7,0.526,0.4,1.3,0.349,2.6,4.4,0.576,1.5,1.8,0.806,1.4,2.5,3.9,0.7,0.4,0.4,1.1,1.9,7.9,33,0,9.6,1.5,2.8,0.549,0.4,0.8,0.462,1.2,2,0.585,0.4,0.5,0.765,0.5,1.4,1.9,0.5,0.2,0.2,0.7,1.9,3.8
Ashley Joens,23,8,0,13.4,1.5,3.9,0.387,1.3,2.5,0.5,0.3,1.4,0.182,0.3,0.3,1,0,1.1,1.1,0.1,0.3,0,0.6,0.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,
