"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS",""
"83",2019-07-07,"Atlanta Dream","63","Phoenix Mercury","65","Box Score"
"84",2019-07-09,"Los Angeles Sparks","62","Dallas Wings","74","Box Score"
"85",2019-07-10,"Connecticut Sun","75","Atlanta Dream","78","Box Score"
"86",2019-07-10,"Minnesota Lynx","73","Chicago Sky","72","Box Score"
"87",2019-07-10,"Las Vegas Aces","74","Indiana Fever","71","Box Score"
"88",2019-07-10,"Phoenix Mercury","91","Washington Mystics","68","Box Score"
"89",2019-07-12,"Minnesota Lynx","53","Atlanta Dream","60","Box Score"
"90",2019-07-12,"New York Liberty","83","Chicago Sky","99","Box Score"
"91",2019-07-12,"Phoenix Mercury","64","Connecticut Sun","79","Box Score"
"92",2019-07-12,"Los Angeles Sparks","90","Indiana Fever","84","Box Score"
"93",2019-07-12,"Dallas Wings","81","Seattle Storm","95","Box Score"
"94",2019-07-13,"Las Vegas Aces","85","Washington Mystics","81","Box Score"
"95",2019-07-14,"Los Angeles Sparks","76","Atlanta Dream","71","Box Score"
"96",2019-07-14,"Chicago Sky","89","Dallas Wings","79","Box Score"
"97",2019-07-14,"Connecticut Sun","76","Indiana Fever","63","Box Score"
"98",2019-07-14,"Phoenix Mercury","62","Minnesota Lynx","75","Box Score"
"99",2019-07-14,"New York Liberty","69","Seattle Storm","78","Box Score"
"100",2019-07-17,"Atlanta Dream","76","Chicago Sky","77","Box Score"
"101",2019-07-17,"Seattle Storm","90","Minnesota Lynx","79","Box Score"
"102",2019-07-17,"Dallas Wings","64","Phoenix Mercury","69","Box Score"
"103",2019-07-18,"Dallas Wings","64","Los Angeles Sparks","69","Box Score"
"104",2019-07-19,"Atlanta Dream","69","Connecticut Sun","98","Box Score"
"105",2019-07-19,"Washington Mystics","95","Indiana Fever","88","Box Score"
"106",2019-07-19,"Las Vegas Aces","66","Seattle Storm","69","Box Score"
"107",2019-07-20,"Phoenix Mercury","70","Dallas Wings","66","Box Score"
"108",2019-07-20,"Los Angeles Sparks","78","New York Liberty","83","Box Score"
"109",2019-07-21,"Indiana Fever","70","Chicago Sky","78","Box Score"
"110",2019-07-21,"Minnesota Lynx","74","Las Vegas Aces","79","Box Score"
"111",2019-07-21,"Atlanta Dream","65","Washington Mystics","93","Box Score"
"112",2019-07-23,"Los Angeles Sparks","78","Atlanta Dream","66","Box Score"
"113",2019-07-23,"Seattle Storm","62","Las Vegas Aces","79","Box Score"
"114",2019-07-23,"Indiana Fever","77","Phoenix Mercury","95","Box Score"
"115",2019-07-24,"New York Liberty","63","Connecticut Sun","70","Box Score"
"116",2019-07-24,"Washington Mystics","79","Minnesota Lynx","71","Box Score"
"117",2019-07-30,"Chicago Sky","94","Connecticut Sun","100","Box Score"
"118",2019-07-30,"Dallas Wings","54","Las Vegas Aces","86","Box Score"
"119",2019-07-30,"Phoenix Mercury","93","Washington Mystics","99","Box Score"
"120",2019-07-31,"Atlanta Dream","59","Indiana Fever","61","Box Score"
"121",2019-08-01,"Phoenix Mercury","62","Connecticut Sun","68","Box Score"
"122",2019-08-01,"New York Liberty","64","Dallas Wings","87","Box Score"
"123",2019-08-01,"Las Vegas Aces","68","Los Angeles Sparks","76","Box Score"
"124",2019-08-02,"Washington Mystics","99","Seattle Storm","79","Box Score"
"125",2019-08-03,"Chicago Sky","87","Atlanta Dream","75","Box Score"
"126",2019-08-03,"Las Vegas Aces","75","Dallas Wings","70","Box Score"
"127",2019-08-03,"Minnesota Lynx","75","Indiana Fever","86","Box Score"
"128",2019-08-04,"Seattle Storm","75","Los Angeles Sparks","83","Box Score"
"129",2019-08-04,"Connecticut Sun","94","New York Liberty","79","Box Score"
"130",2019-08-04,"Washington Mystics","82","Phoenix Mercury","103","Box Score"
"131",2019-08-05,"Washington Mystics","99","Las Vegas Aces","70","Box Score"
"132",2019-08-06,"Minnesota Lynx","85","Atlanta Dream","69","Box Score"
"133",2019-08-07,"New York Liberty","92","Chicago Sky","101","Box Score"
"134",2019-08-08,"Phoenix Mercury","74","Los Angeles Sparks","84","Box Score"
"135",2019-08-08,"Dallas Wings","57","Seattle Storm","69","Box Score"
"136",2019-08-08,"Indiana Fever","78","Washington Mystics","91","Box Score"
"137",2019-08-09,"Chicago Sky","87","Las Vegas Aces","84","Box Score"
"138",2019-08-09,"Connecticut Sun","57","Minnesota Lynx","89","Box Score"
"139",2019-08-10,"Atlanta Dream","82","Indiana Fever","87","Box Score"
"140",2019-08-10,"Dallas Wings","80","Phoenix Mercury","77","Box Score"
"141",2019-08-11,"Chicago Sky","81","Los Angeles Sparks","84","Box Score"
"142",2019-08-11,"Connecticut Sun","81","Las Vegas Aces","89","Box Score"
"143",2019-08-11,"Seattle Storm","84","New York Liberty","69","Box Score"
"144",2019-08-11,"Minnesota Lynx","78","Washington Mystics","101","Box Score"
"145",2019-08-13,"Atlanta Dream","90","Las Vegas Aces","94","Box Score"
"146",2019-08-13,"Minnesota Lynx","89","New York Liberty","73","Box Score"
"147",2019-08-14,"Los Angeles Sparks","78","Dallas Wings","84","Box Score"
"148",2019-08-14,"Connecticut Sun","78","Phoenix Mercury","71","Box Score"
"149",2019-08-14,"Seattle Storm","59","Washington Mystics","88","Box Score"
"150",2019-08-16,"Los Angeles Sparks","81","Chicago Sky","91","Box Score"
"151",2019-08-16,"Seattle Storm","78","Connecticut Sun","79","Box Score"
"152",2019-08-16,"New York Liberty","77","Dallas Wings","83","Box Score"
"153",2019-08-16,"Washington Mystics","86","Minnesota Lynx","79","Box Score"
"154",2019-08-16,"Atlanta Dream","68","Phoenix Mercury","77","Box Score"
"155",2019-08-18,"Las Vegas Aces","100","Chicago Sky","85","Box Score"
"156",2019-08-18,"Dallas Wings","68","Connecticut Sun","78","Box Score"
"157",2019-08-18,"New York Liberty","72","Phoenix Mercury","78","Box Score"
"158",2019-08-18,"Minnesota Lynx","74","Seattle Storm","82","Box Score"
"159",2019-08-18,"Indiana Fever","68","Washington Mystics","107","Box Score"
"160",2019-08-20,"Chicago Sky","87","Atlanta Dream","83","Box Score"
"161",2019-08-20,"New York Liberty","82","Indiana Fever","76","Box Score"
