"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS",""
"360",2020-09-22,"Connecticut Sun","75","Las Vegas Aces","83","Box Score"
"361",2020-09-22,"Minnesota Lynx","86","Seattle Storm","88","Box Score"
"362",2020-09-24,"Las Vegas Aces","68","Connecticut Sun","77","Box Score"
"363",2020-09-24,"Minnesota Lynx","79","Seattle Storm","89","Box Score"
"364",2020-09-27,"Las Vegas Aces","84","Connecticut Sun","75","Box Score"
"365",2020-09-27,"Seattle Storm","92","Minnesota Lynx","71","Box Score"
"366",2020-09-29,"Connecticut Sun","63","Las Vegas Aces","66","Box Score"
"367",2020-10-02,"Seattle Storm","93","Las Vegas Aces","80","Box Score"
"368",2020-10-04,"Seattle Storm","104","Las Vegas Aces","91","Box Score"
"369",2020-10-06,"Las Vegas Aces","59","Seattle Storm","92","Box Score"
"370",2021-05-14,"Connecticut Sun","78","Atlanta Dream","67","Box Score"
"371",2021-05-14,"Dallas Wings","94","Los Angeles Sparks","71","Box Score"
"372",2021-05-14,"Phoenix Mercury","77","Minnesota Lynx","75","Box Score"
"373",2021-05-14,"Indiana Fever","87","New York Liberty","90","Box Score"
"374",2021-05-15,"Las Vegas Aces","83","Seattle Storm","97","Box Score"
"375",2021-05-15,"Chicago Sky","70","Washington Mystics","56","Box Score"
"376",2021-05-16,"Phoenix Mercury","78","Connecticut Sun","86","Box Score"
"377",2021-05-16,"New York Liberty","73","Indiana Fever","65","Box Score"
"378",2021-05-18,"Minnesota Lynx","75","New York Liberty","86","Box Score"
"379",2021-05-18,"Las Vegas Aces","96","Seattle Storm","80","Box Score"
"380",2021-05-18,"Phoenix Mercury","91","Washington Mystics","70","Box Score"
"381",2021-05-19,"Chicago Sky","85","Atlanta Dream","77","Box Score"
"382",2021-05-19,"Indiana Fever","67","Connecticut Sun","88","Box Score"
"383",2021-05-20,"Seattle Storm","90","Minnesota Lynx","78","Box Score"
"384",2021-05-21,"Atlanta Dream","83","Indiana Fever","79","Box Score"
"385",2021-05-21,"Los Angeles Sparks","69","Las Vegas Aces","97","Box Score"
"386",2021-05-21,"Connecticut Sun","84","Phoenix Mercury","67","Box Score"
"387",2021-05-21,"New York Liberty","72","Washington Mystics","101","Box Score"
"388",2021-05-22,"Seattle Storm","100","Dallas Wings","97","Box Score"
"389",2021-05-23,"New York Liberty","93","Chicago Sky","85","Box Score"
"390",2021-05-23,"Washington Mystics","77","Indiana Fever","89","Box Score"
"391",2021-05-23,"Connecticut Sun","72","Las Vegas Aces","65","Box Score"
"392",2021-05-24,"Dallas Wings","81","New York Liberty","88","Box Score"
"393",2021-05-25,"Atlanta Dream","90","Chicago Sky","83","Box Score"
"394",2021-05-25,"Washington Mystics","85","Indiana Fever","69","Box Score"
"395",2021-05-25,"Connecticut Sun","87","Seattle Storm","90","Box Score"
"396",2021-05-26,"Las Vegas Aces","85","Phoenix Mercury","79","Box Score"
"397",2021-05-27,"Dallas Wings","95","Atlanta Dream","101","Box Score"
"398",2021-05-28,"Los Angeles Sparks","76","Chicago Sky","61","Box Score"
"399",2021-05-28,"Washington Mystics","81","Connecticut Sun","86","Box Score"
"400",2021-05-28,"Indiana Fever","77","Las Vegas Aces","113","Box Score"
"401",2021-05-28,"Minnesota Lynx","72","Seattle Storm","82","Box Score"
"402",2021-05-29,"Phoenix Mercury","89","Dallas Wings","85","Box Score"
"403",2021-05-29,"Atlanta Dream","90","New York Liberty","87","Box Score"
"404",2021-05-30,"Los Angeles Sparks","82","Chicago Sky","79","Box Score"
"405",2021-05-30,"Indiana Fever","78","Las Vegas Aces","101","Box Score"
"406",2021-05-30,"Connecticut Sun","74","Minnesota Lynx","79","Box Score"
"407",2021-06-01,"Phoenix Mercury","84","Chicago Sky","83","Box Score"
"408",2021-06-01,"Las Vegas Aces","67","Connecticut Sun","74","Box Score"
"409",2021-06-01,"Los Angeles Sparks","69","Dallas Wings","79","Box Score"
"410",2021-06-01,"Indiana Fever","73","Seattle Storm","88","Box Score"
"411",2021-06-03,"Indiana Fever","63","Los Angeles Sparks","98","Box Score"
"412",2021-06-03,"Las Vegas Aces","94","New York Liberty","82","Box Score"
"413",2021-06-03,"Chicago Sky","74","Phoenix Mercury","77","Box Score"
"414",2021-06-04,"Atlanta Dream","84","Minnesota Lynx","86","Box Score"
"415",2021-06-04,"Dallas Wings","102","Seattle Storm","105","Box Score"
"416",2021-06-05,"New York Liberty","64","Connecticut Sun","85","Box Score"
"417",2021-06-05,"Chicago Sky","63","Los Angeles Sparks","68","Box Score"
"418",2021-06-05,"Las Vegas Aces","96","Washington Mystics","93","Box Score"
"419",2021-06-06,"Atlanta Dream","80","Minnesota Lynx","100","Box Score"
"420",2021-06-06,"Dallas Wings","68","Seattle Storm","67","Box Score"
"421",2021-06-08,"Dallas Wings","85","Phoenix Mercury","81","Box Score"
"422",2021-06-08,"Minnesota Lynx","81","Washington Mystics","85","Box Score"
"423",2021-06-09,"Seattle Storm","95","Atlanta Dream","71","Box Score"
"424",2021-06-09,"Indiana Fever","76","Chicago Sky","92","Box Score"
"425",2021-06-10,"Los Angeles Sparks","71","Washington Mystics","89","Box Score"
"426",2021-06-11,"Seattle Storm","86","Atlanta Dream","75","Box Score"
"427",2021-06-11,"Dallas Wings","77","Phoenix Mercury","59","Box Score"
"428",2021-06-12,"Chicago Sky","83","Indiana Fever","79","Box Score"
"429",2021-06-12,"Los Angeles Sparks","64","Minnesota Lynx","80","Box Score"
"430",2021-06-13,"Washington Mystics","78","Atlanta Dream","101","Box Score"
"431",2021-06-13,"Seattle Storm","89","Connecticut Sun","66","Box Score"
"432",2021-06-13,"Dallas Wings","78","Las Vegas Aces","85","Box Score"
"433",2021-06-13,"New York Liberty","85","Phoenix Mercury","83","Box Score"
"434",2021-06-15,"Seattle Storm","87","Indiana Fever","70","Box Score"
"435",2021-06-15,"New York Liberty","78","Las Vegas Aces","100","Box Score"
"436",2021-06-15,"Chicago Sky","105","Minnesota Lynx","89","Box Score"
"437",2021-06-16,"Phoenix Mercury","80","Los Angeles Sparks","85","Box Score"
"438",2021-06-17,"Connecticut Sun","75","Chicago Sky","81","Box Score"
"439",2021-06-17,"Minnesota Lynx","85","Dallas Wings","73","Box Score"
"440",2021-06-17,"Seattle Storm","79","Indiana Fever","69","Box Score"
"441",2021-06-17,"New York Liberty","76","Las Vegas Aces","103","Box Score"
"442",2021-06-17,"Atlanta Dream","93","Washington Mystics","96","Box Score"
"443",2021-06-18,"Phoenix Mercury","80","Los Angeles Sparks","66","Box Score"
"444",2021-06-19,"Connecticut Sun","81","Chicago Sky","91","Box Score"
"445",2021-06-19,"Minnesota Lynx","77","Dallas Wings","95","Box Score"
"446",2021-06-19,"Indiana Fever","77","Washington Mystics","82","Box Score"
"447",2021-06-20,"New York Liberty","76","Los Angeles Sparks","73","Box Score"
"448",2021-06-22,"Dallas Wings","70","Connecticut Sun","80","Box Score"
"449",2021-06-22,"Chicago Sky","92","New York Liberty","72","Box Score"
"450",2021-06-22,"Washington Mystics","87","Seattle Storm","83","Box Score"
"451",2021-06-23,"Minnesota Lynx","87","Atlanta Dream","85","Box Score"
"452",2021-06-24,"Dallas Wings","89","Indiana Fever","64","Box Score"
"453",2021-06-24,"Washington Mystics","82","Los Angeles Sparks","89","Box Score"
"454",2021-06-24,"Chicago Sky","91","New York Liberty","68","Box Score"
"455",2021-06-25,"Las Vegas Aces","89","Minnesota Lynx","90","Box Score"
"456",2021-06-26,"New York Liberty","101","Atlanta Dream","78","Box Score"
"457",2021-06-26,"Washington Mystics","74","Dallas Wings","85","Box Score"
"458",2021-06-27,"Chicago Sky","58","Connecticut Sun","74","Box Score"
"459",2021-06-27,"Seattle Storm","92","Las Vegas Aces","95","Box Score"
"460",2021-06-27,"Los Angeles Sparks","79","Phoenix Mercury","88","Box Score"
"461",2021-06-29,"New York Liberty","69","Atlanta Dream","73","Box Score"
"462",2021-06-29,"Connecticut Sun","90","Washington Mystics","71","Box Score"
"463",2021-06-30,"Chicago Sky","91","Dallas Wings","81","Box Score"
"464",2021-06-30,"Las Vegas Aces","99","Los Angeles Sparks","75","Box Score"
"465",2021-06-30,"Minnesota Lynx","82","Phoenix Mercury","76","Box Score"
"466",2021-07-01,"Connecticut Sun","86","Indiana Fever","80","Box Score"
"467",2021-07-02,"Chicago Sky","91","Dallas Wings","100","Box Score"
"468",2021-07-02,"Las Vegas Aces","66","Los Angeles Sparks","58","Box Score"
"469",2021-07-02,"Atlanta Dream","88","Seattle Storm","91","Box Score"
"470",2021-07-03,"Connecticut Sun","67","Indiana Fever","73","Box Score"
"471",2021-07-03,"Washington Mystics","79","New York Liberty","82","Box Score"
"472",2021-07-03,"Minnesota Lynx","99","Phoenix Mercury","68","Box Score"
"473",2021-07-04,"Seattle Storm","84","Los Angeles Sparks","74","Box Score"
"474",2021-07-04,"Atlanta Dream","95","Las Vegas Aces","118","Box Score"
"475",2021-07-05,"Dallas Wings","96","New York Liberty","99","Box Score"
"476",2021-07-07,"Phoenix Mercury","99","Las Vegas Aces","90","Box Score"
"477",2021-07-07,"Dallas Wings","79","Minnesota Lynx","85","Box Score"
"478",2021-07-07,"Los Angeles Sparks","62","Seattle Storm","71","Box Score"
"479",2021-07-09,"Atlanta Dream","72","Connecticut Sun","84","Box Score"
"480",2021-07-09,"New York Liberty","69","Indiana Fever","82","Box Score"
"481",2021-07-09,"Minnesota Lynx","77","Las Vegas Aces","67","Box Score"
"482",2021-07-09,"Seattle Storm","77","Phoenix Mercury","85","Box Score"
"483",2021-07-10,"Washington Mystics","89","Chicago Sky","85","Box Score"
"484",2021-07-11,"Indiana Fever","79","Atlanta Dream","68","Box Score"
"485",2021-07-11,"Las Vegas Aces","95","Dallas Wings","79","Box Score"
"486",2021-07-11,"Minnesota Lynx","86","Los Angeles Sparks","61","Box Score"
"487",2021-07-11,"Connecticut Sun","71","New York Liberty","54","Box Score"
"488",2021-07-11,"Phoenix Mercury","75","Seattle Storm","82","Box Score"
"489",2021-08-15,"Seattle Storm","85","Chicago Sky","87","Box Score"
"490",2021-08-15,"Connecticut Sun","80","Dallas Wings","59","Box Score"
"491",2021-08-15,"Indiana Fever","70","Los Angeles Sparks","75","Box Score"
"492",2021-08-15,"Washington Mystics","83","Las Vegas Aces","84","Box Score"
"493",2021-08-15,"New York Liberty","78","Minnesota Lynx","88","Box Score"
"494",2021-08-15,"Atlanta Dream","81","Phoenix Mercury","92","Box Score"
"495",2021-08-17,"Dallas Wings","80","Chicago Sky","76","Box Score"
"496",2021-08-17,"Minnesota Lynx","60","Connecticut Sun","72","Box Score"
"497",2021-08-17,"Atlanta Dream","80","Los Angeles Sparks","85","Box Score"
"498",2021-08-17,"Washington Mystics","83","Las Vegas Aces","93","Box Score"
"499",2021-08-17,"Indiana Fever","80","Phoenix Mercury","84","Box Score"
"500",2021-08-18,"Seattle Storm","79","New York Liberty","83","Box Score"
"501",2021-08-19,"Minnesota Lynx","71","Connecticut Sun","82","Box Score"
"502",2021-08-19,"Atlanta Dream","64","Los Angeles Sparks","66","Box Score"
"503",2021-08-19,"Washington Mystics","64","Phoenix Mercury","77","Box Score"
"504",2021-08-20,"Indiana Fever","83","Dallas Wings","81","Box Score"
"505",2021-08-20,"Seattle Storm","99","New York Liberty","83","Box Score"
"506",2021-08-21,"Phoenix Mercury","84","Atlanta Dream","69","Box Score"
"507",2021-08-21,"Minnesota Lynx","101","Chicago Sky","95","Box Score"
"508",2021-08-22,"Los Angeles Sparks","86","New York Liberty","83","Box Score"
"509",2021-08-22,"Seattle Storm","85","Washington Mystics","78","Box Score"
"510",2021-08-24,"Chicago Sky","86","Atlanta Dream","79","Box Score"
"511",2021-08-24,"Las Vegas Aces","62","Connecticut Sun","76","Box Score"
"512",2021-08-24,"Seattle Storm","70","Minnesota Lynx","76","Box Score"
"513",2021-08-24,"Los Angeles Sparks","68","Washington Mystics","78","Box Score"
"514",2021-08-25,"Phoenix Mercury","106","New York Liberty","79","Box Score"
"515",2021-08-26,"Las Vegas Aces","78","Atlanta Dream","71","Box Score"
"516",2021-08-26,"Los Angeles Sparks","72","Connecticut Sun","76","Box Score"
"517",2021-08-26,"Dallas Wings","82","Washington Mystics","77","Box Score"
"518",2021-08-27,"Phoenix Mercury","80","New York Liberty","64","Box Score"
"519",2021-08-27,"Chicago Sky","73","Seattle Storm","69","Box Score"
"520",2021-08-28,"Los Angeles Sparks","61","Connecticut Sun","76","Box Score"
"521",2021-08-28,"Las Vegas Aces","87","Indiana Fever","71","Box Score"
"522",2021-08-28,"Dallas Wings","75","Washington Mystics","76","Box Score"
"523",2021-08-29,"Chicago Sky","107","Seattle Storm","75","Box Score"
"524",2021-08-31,"Los Angeles Sparks","72","Indiana Fever","74","Box Score"
"525",2021-08-31,"New York Liberty","66","Minnesota Lynx","74","Box Score"
"526",2021-08-31,"Chicago Sky","83","Phoenix Mercury","103","Box Score"
"527",2021-08-31,"Connecticut Sun","85","Washington Mystics","75","Box Score"
"528",2021-09-02,"Atlanta Dream","68","Dallas Wings","72","Box Score"
"529",2021-09-02,"Chicago Sky","83","Las Vegas Aces","90","Box Score"
"530",2021-09-02,"Los Angeles Sparks","57","Minnesota Lynx","66","Box Score"
"531",2021-09-02,"New York Liberty","75","Seattle Storm","85","Box Score"
"532",2021-09-04,"Phoenix Mercury","87","Indiana Fever","65","Box Score"
"533",2021-09-04,"Washington Mystics","75","Minnesota Lynx","93","Box Score"
"534",2021-09-05,"Las Vegas Aces","84","Chicago Sky","92","Box Score"
"535",2021-09-05,"Atlanta Dream","69","Dallas Wings","64","Box Score"
"536",2021-09-06,"Phoenix Mercury","86","Indiana Fever","81","Box Score"
"537",2021-09-07,"Connecticut Sun","83","Dallas Wings","56","Box Score"
"538",2021-09-07,"Washington Mystics","71","Seattle Storm","105","Box Score"
"539",2021-09-08,"Phoenix Mercury","76","Atlanta Dream","75","Box Score"
"540",2021-09-08,"Minnesota Lynx","81","Las Vegas Aces","102","Box Score"
"541",2021-09-09,"Connecticut Sun","75","Los Angeles Sparks","57","Box Score"
"542",2021-09-10,"Indiana Fever","72","Minnesota Lynx","89","Box Score"
"543",2021-09-10,"Atlanta Dream","74","Washington Mystics","82","Box Score"
"544",2021-09-11,"New York Liberty","76","Dallas Wings","77","Box Score"
"545",2021-09-11,"Connecticut Sun","76","Phoenix Mercury","67","Box Score"
"546",2021-09-12,"Washington Mystics","79","Chicago Sky","71","Box Score"
"547",2021-09-12,"Seattle Storm","53","Los Angeles Sparks","81","Box Score"
"548",2021-09-12,"Indiana Fever","80","Minnesota Lynx","90","Box Score"
"549",2021-09-13,"Dallas Wings","75","Las Vegas Aces","85","Box Score"
"550",2021-09-14,"Indiana Fever","78","Atlanta Dream","85","Box Score"
"551",2021-09-15,"New York Liberty","69","Connecticut Sun","98","Box Score"
"552",2021-09-16,"Los Angeles Sparks","74","Atlanta Dream","68","Box Score"
"553",2021-09-17,"Las Vegas Aces","103","Chicago Sky","70","Box Score"
"554",2021-09-17,"Minnesota Lynx","92","Indiana Fever","73","Box Score"
"555",2021-09-17,"Washington Mystics","80","New York Liberty","91","Box Score"
"556",2021-09-17,"Phoenix Mercury","85","Seattle Storm","94","Box Score"
"557",2021-09-19,"Indiana Fever","87","Chicago Sky","98","Box Score"
"558",2021-09-19,"Atlanta Dream","64","Connecticut Sun","84","Box Score"
"559",2021-09-19,"Los Angeles Sparks","84","Dallas Wings","87","Box Score"
"560",2021-09-19,"Las Vegas Aces","84","Phoenix Mercury","83","Box Score"
"561",2021-09-19,"Minnesota Lynx","83","Washington Mystics","77","Box Score"
"562",NA,"Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"563",2021-09-23,"Dallas Wings","64","Chicago Sky","81","Box Score"
"564",2021-09-23,"New York Liberty","82","Phoenix Mercury","83","Box Score"
"565",2021-09-26,"Chicago Sky","89","Minnesota Lynx","76","Box Score"
"566",2021-09-26,"Phoenix Mercury","85","Seattle Storm","80","Box Score"
"567",2021-09-28,"Chicago Sky","101","Connecticut Sun","95","Box Score"
"568",2021-09-28,"Phoenix Mercury","90","Las Vegas Aces","96","Box Score"
"569",2021-09-30,"Chicago Sky","68","Connecticut Sun","79","Box Score"
"570",2021-09-30,"Phoenix Mercury","117","Las Vegas Aces","91","Box Score"
"571",2021-10-03,"Connecticut Sun","83","Chicago Sky","86","Box Score"
"572",2021-10-03,"Las Vegas Aces","60","Phoenix Mercury","87","Box Score"
"573",2021-10-06,"Connecticut Sun","69","Chicago Sky","79","Box Score"
"574",2021-10-06,"Las Vegas Aces","93","Phoenix Mercury","76","Box Score"
"575",2021-10-08,"Phoenix Mercury","87","Las Vegas Aces","84","Box Score"
"576",2021-10-10,"Chicago Sky","91","Phoenix Mercury","77","Box Score"
"577",2021-10-13,"Chicago Sky","86","Phoenix Mercury","91","Box Score"
"578",2021-10-15,"Phoenix Mercury","50","Chicago Sky","86","Box Score"
"579",2021-10-17,"Phoenix Mercury","74","Chicago Sky","80","Box Score"
"580",2022-05-06,"Los Angeles Sparks","98","Chicago Sky","91","Box Score"
"581",2022-05-06,"Las Vegas Aces","106","Phoenix Mercury","88","Box Score"
"582",2022-05-06,"Minnesota Lynx","74","Seattle Storm","97","Box Score"
"583",2022-05-06,"Indiana Fever","70","Washington Mystics","84","Box Score"
"584",2022-05-07,"Atlanta Dream","66","Dallas Wings","59","Box Score"
"585",2022-05-07,"Connecticut Sun","79","New York Liberty","81","Box Score"
"586",2022-05-08,"Los Angeles Sparks","87","Indiana Fever","77","Box Score"
"587",2022-05-08,"Seattle Storm","74","Las Vegas Aces","85","Box Score"
"588",2022-05-08,"Washington Mystics","78","Minnesota Lynx","66","Box Score"
"589",2022-05-10,"Minnesota Lynx","76","Indiana Fever","82","Box Score"
"590",2022-05-10,"Las Vegas Aces","76","Washington Mystics","89","Box Score"
"591",2022-05-11,"Los Angeles Sparks","75","Atlanta Dream","77","Box Score"
"592",2022-05-11,"New York Liberty","50","Chicago Sky","83","Box Score"
"593",2022-05-11,"Seattle Storm","77","Phoenix Mercury","97","Box Score"
"594",2022-05-13,"Las Vegas Aces","96","Atlanta Dream","73","Box Score"
"595",2022-05-13,"Indiana Fever","92","New York Liberty","86","Box Score"
"596",2022-05-13,"Dallas Wings","94","Washington Mystics","86","Box Score"
"597",2022-05-14,"Los Angeles Sparks","60","Connecticut Sun","77","Box Score"
"598",2022-05-14,"Chicago Sky","82","Minnesota Lynx","78","Box Score"
"599",2022-05-14,"Phoenix Mercury","69","Seattle Storm","64","Box Score"
"600",2022-05-15,"Atlanta Dream","85","Indiana Fever","79","Box Score"
"601",2022-05-15,"Dallas Wings","81","New York Liberty","71","Box Score"
"602",2022-05-17,"Washington Mystics","84","Dallas Wings","68","Box Score"
"603",2022-05-17,"Atlanta Dream","101","Indiana Fever","79","Box Score"
"604",2022-05-17,"Minnesota Lynx","87","Los Angeles Sparks","84","Box Score"
"605",2022-05-17,"Phoenix Mercury","74","Las Vegas Aces","86","Box Score"
"606",2022-05-17,"Connecticut Sun","92","New York Liberty","65","Box Score"
"607",2022-05-18,"Chicago Sky","71","Seattle Storm","74","Box Score"
"608",2022-05-19,"Minnesota Lynx","87","Las Vegas Aces","93","Box Score"
"609",2022-05-19,"Dallas Wings","94","Phoenix Mercury","84","Box Score"
"610",2022-05-20,"Washington Mystics","78","Atlanta Dream","73","Box Score"
"611",2022-05-20,"Indiana Fever","85","Connecticut Sun","94","Box Score"
"612",2022-05-20,"Los Angeles Sparks","80","Seattle Storm","83","Box Score"
"613",2022-05-21,"Minnesota Lynx","78","Dallas Wings","94","Box Score"
"614",2022-05-21,"Phoenix Mercury","80","Las Vegas Aces","100","Box Score"
"615",2022-05-22,"Connecticut Sun","92","Indiana Fever","70","Box Score"
"616",2022-05-22,"Chicago Sky","82","Washington Mystics","73","Box Score"
"617",2022-05-23,"Los Angeles Sparks","76","Las Vegas Aces","104","Box Score"
"618",2022-05-24,"Indiana Fever","90","Chicago Sky","95","Box Score"
"619",2022-05-24,"Dallas Wings","85","Connecticut Sun","77","Box Score"
"620",2022-05-24,"New York Liberty","78","Minnesota Lynx","84","Box Score"
"621",2022-05-24,"Atlanta Dream","50","Washington Mystics","70","Box Score"
"622",2022-05-25,"Phoenix Mercury","94","Los Angeles Sparks","99","Box Score"
"623",2022-05-26,"Dallas Wings","68","Connecticut Sun","99","Box Score"
"624",2022-05-27,"Los Angeles Sparks","96","Indiana Fever","101","Box Score"
"625",2022-05-27,"New York Liberty","71","Seattle Storm","79","Box Score"
"626",2022-05-28,"Las Vegas Aces","83","Chicago Sky","76","Box Score"
"627",2022-05-28,"Washington Mystics","71","Connecticut Sun","79","Box Score"
"628",2022-05-29,"Phoenix Mercury","54","Atlanta Dream","81","Box Score"
"629",2022-05-29,"Los Angeles Sparks","85","Minnesota Lynx","83","Box Score"
"630",2022-05-29,"New York Liberty","61","Seattle Storm","92","Box Score"
"631",2022-05-31,"Phoenix Mercury","70","Chicago Sky","73","Box Score"
"632",2022-05-31,"Washington Mystics","87","Indiana Fever","75","Box Score"
"633",2022-05-31,"Dallas Wings","91","Los Angeles Sparks","93","Box Score"
"634",2022-05-31,"Connecticut Sun","81","Las Vegas Aces","89","Box Score"
"635",2022-06-01,"Minnesota Lynx","76","Atlanta Dream","84","Box Score"
"636",2022-06-01,"Indiana Fever","74","New York Liberty","87","Box Score"
"637",2022-06-02,"Connecticut Sun","97","Las Vegas Aces","90","Box Score"
"638",2022-06-03,"Chicago Sky","73","Atlanta Dream","65","Box Score"
"639",2022-06-03,"Connecticut Sun","92","Phoenix Mercury","88","Box Score"
"640",2022-06-03,"Dallas Wings","68","Seattle Storm","51","Box Score"
"641",2022-06-03,"New York Liberty","74","Washington Mystics","70","Box Score"
"642",2022-06-05,"Indiana Fever","66","Atlanta Dream","75","Box Score"
"643",2022-06-05,"Washington Mystics","82","Chicago Sky","91","Box Score"
"644",2022-06-05,"Dallas Wings","78","Las Vegas Aces","84","Box Score"
"645",2022-06-05,"Minnesota Lynx","84","New York Liberty","77","Box Score"
"646",2022-06-05,"Los Angeles Sparks","74","Phoenix Mercury","81","Box Score"
"647",2022-06-05,"Connecticut Sun","93","Seattle Storm","86","Box Score"
"648",2022-06-07,"Minnesota Lynx","69","New York Liberty","88","Box Score"
"649",2022-06-07,"Atlanta Dream","60","Seattle Storm","72","Box Score"
"650",2022-06-08,"Indiana Fever","69","Connecticut Sun","88","Box Score"
"651",2022-06-08,"Chicago Sky","82","Washington Mystics","84","Box Score"
"652",2022-06-10,"Chicago Sky","83","Connecticut Sun","79","Box Score"
"653",2022-06-10,"Seattle Storm","89","Dallas Wings","88","Box Score"
"654",2022-06-10,"New York Liberty","97","Indiana Fever","83","Box Score"
"655",2022-06-10,"Washington Mystics","76","Minnesota Lynx","59","Box Score"
"656",2022-06-10,"Atlanta Dream","88","Phoenix Mercury","90","Box Score"
"657",2022-06-11,"Las Vegas Aces","89","Los Angeles Sparks","72","Box Score"
"658",2022-06-12,"Seattle Storm","84","Dallas Wings","79","Box Score"
"659",2022-06-12,"Indiana Fever","84","Minnesota Lynx","80","Box Score"
"660",2022-06-12,"Chicago Sky","88","New York Liberty","86","Box Score"
"661",2022-06-12,"Phoenix Mercury","99","Washington Mystics","90","Box Score"
"662",2022-06-14,"Seattle Storm","81","Minnesota Lynx","79","Box Score"
"663",2022-06-14,"Phoenix Mercury","65","Washington Mystics","83","Box Score"
"664",2022-06-15,"Atlanta Dream","92","Connecticut Sun","105","Box Score"
"665",2022-06-15,"Las Vegas Aces","92","Dallas Wings","84","Box Score"
"666",2022-06-15,"Phoenix Mercury","93","Indiana Fever","80","Box Score"
"667",2022-06-16,"Washington Mystics","65","New York Liberty","77","Box Score"
"668",2022-06-17,"Atlanta Dream","100","Chicago Sky","106","Box Score"
"669",2022-06-17,"Seattle Storm","71","Connecticut Sun","82","Box Score"
"670",2022-06-17,"Phoenix Mercury","88","Dallas Wings","93","Box Score"
"671",2022-06-19,"Los Angeles Sparks","82","Dallas Wings","92","Box Score"
"672",2022-06-19,"Chicago Sky","87","Indiana Fever","89","Box Score"
"673",2022-06-19,"Minnesota Lynx","95","Las Vegas Aces","96","Box Score"
"674",2022-06-19,"Seattle Storm","81","New York Liberty","72","Box Score"
"675",2022-06-19,"Connecticut Sun","63","Washington Mystics","71","Box Score"
"676",2022-06-21,"Dallas Wings","75","Atlanta Dream","80","Box Score"
"677",2022-06-21,"Washington Mystics","82","Los Angeles Sparks","84","Box Score"
"678",2022-06-21,"Chicago Sky","104","Las Vegas Aces","95","Box Score"
"679",2022-06-21,"Minnesota Lynx","84","Phoenix Mercury","71","Box Score"
"680",2022-06-22,"New York Liberty","81","Connecticut Sun","77","Box Score"
"681",2022-06-23,"Indiana Fever","68","Dallas Wings","94","Box Score"
"682",2022-06-23,"Chicago Sky","82","Los Angeles Sparks","59","Box Score"
"683",2022-06-23,"Phoenix Mercury","88","Minnesota Lynx","100","Box Score"
"684",2022-06-23,"Washington Mystics","71","Seattle Storm","85","Box Score"
"685",2022-06-24,"New York Liberty","89","Atlanta Dream","77","Box Score"
"686",2022-06-25,"Phoenix Mercury","83","Dallas Wings","72","Box Score"
"687",2022-06-25,"Washington Mystics","87","Las Vegas Aces","86","Box Score"
"688",2022-06-25,"Los Angeles Sparks","85","Seattle Storm","77","Box Score"
"689",2022-06-26,"Connecticut Sun","72","Atlanta Dream","61","Box Score"
"690",2022-06-26,"Minnesota Lynx","85","Chicago Sky","88","Box Score"
"691",2022-06-27,"Las Vegas Aces","79","Los Angeles Sparks","73","Box Score"
"692",2022-06-27,"Indiana Fever","71","Phoenix Mercury","83","Box Score"
"693",2022-06-28,"Dallas Wings","64","Minnesota Lynx","92","Box Score"
"694",2022-06-28,"Atlanta Dream","74","Washington Mystics","92","Box Score"
"695",2022-06-29,"Connecticut Sun","83","Chicago Sky","91","Box Score"
"696",2022-06-29,"Indiana Fever","78","Phoenix Mercury","99","Box Score"
"697",2022-06-29,"Las Vegas Aces","78","Seattle Storm","88","Box Score"
"698",2022-06-30,"Atlanta Dream","92","New York Liberty","81","Box Score"
"699",2022-07-01,"Los Angeles Sparks","97","Dallas Wings","89","Box Score"
"700",2022-07-01,"Las Vegas Aces","91","Minnesota Lynx","85","Box Score"
"701",2022-07-01,"Indiana Fever","57","Seattle Storm","73","Box Score"
"702",2022-07-02,"Phoenix Mercury","75","Chicago Sky","91","Box Score"
"703",2022-07-03,"Seattle Storm","76","Atlanta Dream","90","Box Score"
"704",2022-07-03,"Washington Mystics","72","Connecticut Sun","74","Box Score"
"705",2022-07-03,"New York Liberty","74","Los Angeles Sparks","84","Box Score"
"706",2022-07-03,"Las Vegas Aces","71","Minnesota Lynx","102","Box Score"
"707",2022-07-04,"Phoenix Mercury","75","Los Angeles Sparks","78","Box Score"
"708",2022-07-05,"Connecticut Sun","71","Dallas Wings","82","Box Score"
"709",2022-07-05,"Seattle Storm","95","Indiana Fever","73","Box Score"
"710",2022-07-06,"Washington Mystics","85","Atlanta Dream","66","Box Score"
"711",2022-07-06,"New York Liberty","116","Las Vegas Aces","107","Box Score"
"712",2022-07-06,"Chicago Sky","78","Minnesota Lynx","81","Box Score"
"713",2022-07-07,"Chicago Sky","93","Indiana Fever","84","Box Score"
"714",2022-07-07,"Seattle Storm","106","Los Angeles Sparks","69","Box Score"
"715",2022-07-07,"New York Liberty","81","Phoenix Mercury","84","Box Score"
"716",2022-07-12,"Atlanta Dream","75","Chicago Sky","90","Box Score"
"717",2022-07-12,"Washington Mystics","94","Los Angeles Sparks","81","Box Score"
"718",2022-07-12,"Phoenix Mercury","107","Minnesota Lynx","118","Box Score"
"719",2022-07-12,"Las Vegas Aces","107","New York Liberty","101","Box Score"
