F,VENUE,TEAMS,DATE,Win,Road PTS,Home PTS,1Q,2Q,3Q,4Q,OT1,OT2,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,AST,PF,STL,TO,BLK,PTS,POSS,PACE,OEFF,DEFF,TEAM REST DAYS,DATASET
86,Road,Connecticut,9/29/2019,0,86,95,17,29,20,20,,,200,33,68,9,23,11,14,9,18,27,21,21,10,13,4,86,78.16,78.16,110.030706244,118.394815553,3+,WNBA 2019 Playoffs
87,Home,Washington,10/1/2019,0,99,87,17,29,23,18,,,200,34,72,7,22,12,13,6,21,27,19,11,4,7,2,87,78.72,78.72,110.518292683,123.811905953,1,WNBA 2019 Playoffs
99,Road,Connecticut,10/1/2019,1,99,87,29,27,17,26,,,200,42,84,8,19,7,9,17,24,41,20,12,3,9,3,99,79.96,79.96,123.811905953,110.518292683,1,WNBA 2019 Playoffs
81,Home,Connecticut,10/6/2019,0,94,81,17,22,18,24,,,200,33,69,5,20,10,11,7,20,27,23,16,8,12,0,81,78.84,78.84,102.739726027,123.036649215,3+,WNBA 2019 Playoffs
94,Road,Washington,10/6/2019,1,94,81,32,11,25,26,,,200,34,67,16,27,10,10,7,27,34,20,13,4,12,2,94,76.4,76.4,123.036649215,102.739726027,3+,WNBA 2019 Playoffs
90,Home,Connecticut,10/8/2019,1,86,90,32,24,12,22,,,200,30,70,7,17,23,26,8,31,39,24,13,5,7,1,90,80.44,80.44,111.88463451,107.8775715,1,WNBA 2019 Playoffs
86,Road,Washington,10/8/2019,0,86,90,17,23,28,18,,,200,33,70,10,21,10,13,5,24,29,21,22,4,9,7,86,79.72,79.72,107.8775715,111.88463451,1,WNBA 2019 Playoffs
89,Home,Washington,10/10/2019,1,78,89,23,19,20,27,,,200,33,66,4,19,19,24,5,27,32,15,19,6,9,6,89,80.56,80.56,110.476663357,96.918489066,1,WNBA 2019 Playoffs
78,Road,Connecticut,10/10/2019,0,78,89,20,23,21,14,,,200,32,71,2,12,12,17,8,23,31,15,19,4,10,0,78,80.48,80.48,96.918489066,110.476663357,1,WNBA 2019 Playoffs
71,Home,New York,7/25/2020,0,87,71,16,19,22,14,,,200,23,66,6,28,19,22,5,32,37,14,15,5,19,5,71,89.68,89.68,79.170383586,98.194130926,3+,WNBA 2020 Regular Season
87,Road,Seattle,7/25/2020,1,87,71,24,18,24,21,,,200,34,77,7,23,12,15,8,32,40,16,21,15,13,3,87,88.6,88.6,98.194130926,79.170383586,3+,WNBA 2020 Regular Season
76,Home,Phoenix,7/25/2020,0,99,76,22,24,8,22,,,200,27,61,9,28,13,21,10,22,32,23,19,10,27,3,76,87.24,87.24,87.116001834,117.1875,3+,WNBA 2020 Regular Season
99,Road,Los Angeles,7/25/2020,1,99,76,22,28,30,19,,,200,38,68,9,20,14,17,6,25,31,21,21,14,15,2,99,84.48,84.48,117.1875,87.116001834,3+,WNBA 2020 Regular Season
101,Home,Washington,7/25/2020,1,76,101,36,26,30,9,,,200,38,68,7,17,18,20,7,34,41,16,19,5,13,1,101,82.8,82.8,121.980676329,89.834515366,3+,WNBA 2020 Regular Season
76,Road,Indiana,7/25/2020,0,76,101,26,9,21,20,,,200,28,71,8,26,12,15,6,22,28,12,21,7,13,1,76,84.6,84.6,89.834515366,121.980676329,3+,WNBA 2020 Regular Season
105,Home,Atlanta,7/26/2020,1,95,105,27,26,21,31,,,200,34,62,7,17,30,34,4,30,34,19,21,7,16,4,105,88.96,88.96,118.03057554,103.48583878,3+,WNBA 2020 Regular Season
95,Road,Dallas,7/26/2020,0,95,105,28,21,19,27,,,200,34,78,13,28,14,20,8,21,29,18,27,10,13,1,95,91.8,91.8,103.48583878,118.03057554,3+,WNBA 2020 Regular Season
86,Home,Las Vegas,7/26/2020,0,88,86,30,18,21,17,,,200,36,77,0,5,14,19,11,31,42,23,20,8,17,0,86,91.36,91.36,94.133099825,98.698968147,3+,WNBA 2020 Regular Season
88,Road,Chicago,7/26/2020,1,88,86,26,20,19,23,,,200,34,74,9,27,11,14,7,26,33,25,23,7,16,3,88,89.16,89.16,98.698968147,94.133099825,3+,WNBA 2020 Regular Season
77,Home,Minnesota,7/26/2020,1,69,77,12,16,22,27,,,200,28,67,4,17,17,21,7,33,40,16,21,9,14,5,77,83.24,83.24,92.503604037,80.985915493,3+,WNBA 2020 Regular Season
69,Road,Connecticut,7/26/2020,0,69,77,19,18,20,12,,,200,23,66,2,19,21,30,8,28,36,15,21,10,14,5,69,85.2,85.2,80.985915493,92.503604037,3+,WNBA 2020 Regular Season
96,Home,Chicago,7/28/2020,1,78,96,19,21,26,30,,,200,37,68,11,25,11,14,5,33,38,25,17,9,15,2,96,84.16,84.16,114.068441065,91.121495327,1,WNBA 2020 Regular Season
78,Road,Los Angeles,7/28/2020,0,78,96,14,22,19,23,,,200,30,70,7,20,11,15,7,23,30,18,15,10,16,2,78,85.6,85.6,91.121495327,114.068441065,2,WNBA 2020 Regular Season
89,Home,Connecticut,7/28/2020,0,94,89,20,32,19,18,,,200,30,66,7,18,22,30,6,30,36,16,25,8,16,1,89,89.2,89.2,99.775784753,105.333930973,1,WNBA 2020 Regular Season
94,Road,Washington,7/28/2020,1,94,89,26,22,28,18,,,200,34,70,9,25,17,21,5,30,35,19,28,10,15,0,94,89.24,89.24,105.333930973,99.775784753,2,WNBA 2020 Regular Season
90,Home,Seattle,7/28/2020,1,66,90,20,21,28,21,,,200,35,66,11,25,9,13,7,17,24,25,16,9,11,5,90,75.72,75.72,118.858954041,87.719298246,2,WNBA 2020 Regular Season
66,Road,Minnesota,7/28/2020,0,66,90,13,22,17,14,,,200,21,62,5,18,19,21,15,23,38,13,11,7,19,1,66,75.24,75.24,87.719298246,118.858954041,1,WNBA 2020 Regular Season
93,Home,Dallas,7/29/2020,1,80,93,24,34,22,13,,,200,36,72,10,23,11,17,5,25,30,18,19,8,10,6,93,84.48,84.48,110.085227273,96.061479347,2,WNBA 2020 Regular Season
80,Road,New York,7/29/2020,0,80,93,22,21,18,19,,,200,31,73,9,25,9,12,13,31,44,16,15,5,18,2,80,83.28,83.28,96.061479347,110.085227273,3+,WNBA 2020 Regular Season
106,Home,Indiana,7/29/2020,1,100,106,27,29,20,30,,,200,36,70,9,20,25,27,9,29,38,17,23,2,12,3,106,84.88,84.88,124.882186616,119.731800766,3+,WNBA 2020 Regular Season
100,Road,Phoenix,7/29/2020,0,100,106,29,24,22,25,,,200,34,69,9,22,23,33,8,20,28,18,24,6,8,2,100,83.52,83.52,119.731800766,124.882186616,3+,WNBA 2020 Regular Season
100,Home,Las Vegas,7/29/2020,1,70,100,23,24,30,23,,,200,38,71,6,9,18,26,14,33,47,16,14,11,19,1,100,87.44,87.44,114.364135407,82.198215124,2,WNBA 2020 Regular Season
70,Road,Atlanta,7/29/2020,0,70,100,21,14,19,16,,,200,28,70,5,28,9,14,7,18,25,12,24,12,16,5,70,85.16,85.16,82.198215124,114.364135407,2,WNBA 2020 Regular Season
81,Home,Los Angeles,7/30/2020,1,76,81,19,22,22,18,,,200,32,72,5,16,12,15,5,31,36,22,26,8,15,3,81,88.6,88.6,91.422121896,88.044485635,1,WNBA 2020 Regular Season
76,Road,Connecticut,7/30/2020,0,76,81,18,18,21,19,,,200,26,73,5,15,19,28,13,32,45,19,19,9,14,0,76,86.32,86.32,88.044485635,91.422121896,1,WNBA 2020 Regular Season
83,Home,Minnesota,7/30/2020,1,81,83,21,17,19,26,,,200,30,64,6,17,17,22,10,25,35,17,22,10,15,4,83,78.68,78.68,105.490594814,98.205625606,1,WNBA 2020 Regular Season
81,Road,Chicago,7/30/2020,0,81,83,18,16,20,27,,,200,31,69,6,24,13,17,8,25,33,18,22,8,14,3,81,82.48,82.48,98.205625606,105.490594814,1,WNBA 2020 Regular Season
89,Home,Washington,7/30/2020,1,71,89,21,29,21,18,,,200,33,76,15,32,8,9,10,26,36,25,15,13,8,1,89,77.96,77.96,114.161108261,89.195979899,1,WNBA 2020 Regular Season
71,Road,Seattle,7/30/2020,0,71,89,14,18,18,21,,,200,26,66,5,25,14,15,11,27,38,16,14,4,18,4,71,79.6,79.6,89.195979899,114.161108261,1,WNBA 2020 Regular Season
84,Home,Atlanta,7/31/2020,1,78,84,22,19,20,23,,,200,28,75,3,10,25,31,17,26,43,11,20,8,15,2,84,86.64,86.64,96.952908587,90.19426457,1,WNBA 2020 Regular Season
78,Road,New York,7/31/2020,0,78,84,16,27,13,22,,,200,28,72,7,29,15,17,8,25,33,13,23,8,15,11,78,86.48,86.48,90.19426457,96.952908587,1,WNBA 2020 Regular Season
76,Home,Dallas,7/31/2020,1,73,76,19,12,26,19,,,200,26,74,3,25,21,25,16,27,43,10,18,7,9,5,76,78,78,97.435897436,90.841214535,1,WNBA 2020 Regular Season
73,Road,Indiana,7/31/2020,0,73,76,17,26,19,11,,,200,26,72,5,19,16,19,15,26,41,18,19,4,15,1,73,80.36,80.36,90.841214535,97.435897436,1,WNBA 2020 Regular Season
102,Home,Phoenix,7/31/2020,1,95,102,30,20,26,26,,,200,38,66,11,20,15,19,2,29,31,30,26,4,13,9,102,85.36,85.36,119.493908154,108.795235914,1,WNBA 2020 Regular Season
95,Road,Las Vegas,7/31/2020,0,95,102,19,22,22,32,,,200,32,70,7,14,24,28,5,25,30,22,17,8,10,1,95,87.32,87.32,108.795235914,119.493908154,1,WNBA 2020 Regular Season
88,Home,Chicago,8/1/2020,1,86,88,20,15,27,26,,,200,36,70,12,25,4,7,4,31,35,25,19,7,17,5,88,86.08,86.08,102.230483271,95.768374165,1,WNBA 2020 Regular Season
86,Road,Washington,8/1/2020,0,86,88,15,22,25,24,,,200,31,74,8,22,16,20,7,28,35,20,12,10,14,1,86,89.8,89.8,95.768374165,102.230483271,1,WNBA 2020 Regular Season
69,Home,Connecticut,8/1/2020,0,78,69,17,25,18,9,,,200,22,63,8,24,17,24,8,19,27,10,18,12,16,3,69,81.56,81.56,84.600294262,96.966683242,1,WNBA 2020 Regular Season
78,Road,Minnesota,8/1/2020,1,78,69,18,17,26,17,,,200,27,64,4,19,20,26,12,28,40,13,20,11,17,7,78,80.44,80.44,96.966683242,84.600294262,1,WNBA 2020 Regular Season
81,Home,Seattle,8/1/2020,1,75,81,27,18,20,16,,,200,31,62,8,23,11,19,5,31,36,19,21,10,16,2,81,81.36,81.36,99.557522124,89.584328715,1,WNBA 2020 Regular Season
75,Road,Los Angeles,8/1/2020,0,75,81,16,13,26,20,,,200,29,75,7,24,10,13,11,22,33,16,15,10,14,2,75,83.72,83.72,89.584328715,99.557522124,1,WNBA 2020 Regular Season
93,Home,Indiana,8/2/2020,1,77,93,30,17,20,26,,,200,34,66,8,20,17,21,9,23,32,26,13,5,15,5,93,81.24,81.24,114.47562777,96.830985915,1,WNBA 2020 Regular Season
77,Road,Atlanta,8/2/2020,0,77,93,23,16,19,19,,,200,33,69,4,11,7,8,5,21,26,18,22,6,12,0,77,79.52,79.52,96.830985915,114.47562777,1,WNBA 2020 Regular Season
79,Home,Las Vegas,8/2/2020,1,70,79,24,18,24,13,,,200,27,62,3,14,22,27,7,33,40,17,14,3,18,1,79,84.88,84.88,93.072573044,85.075352455,1,WNBA 2020 Regular Season
70,Road,Dallas,8/2/2020,0,70,79,18,19,19,14,,,200,28,76,4,30,10,12,9,21,30,11,23,10,10,5,70,82.28,82.28,85.075352455,93.072573044,1,WNBA 2020 Regular Season
67,Home,New York,8/2/2020,0,96,67,12,15,29,11,,,200,18,73,5,35,26,29,10,24,34,13,30,4,13,2,67,88.76,88.76,75.484452456,113.582584004,1,WNBA 2020 Regular Season
96,Road,Phoenix,8/2/2020,1,96,67,25,16,21,34,,,200,32,66,5,19,27,33,9,38,47,20,29,8,13,9,96,84.52,84.52,113.582584004,75.484452456,1,WNBA 2020 Regular Season
74,Home,Atlanta,8/4/2020,0,81,74,15,20,20,19,,,200,29,62,4,13,12,13,5,30,35,15,25,7,23,2,74,85.72,85.72,86.327578161,95.654227681,1,WNBA 2020 Regular Season
81,Road,Phoenix,8/4/2020,1,81,74,15,18,16,32,,,200,29,75,4,20,19,22,10,23,33,19,18,7,10,2,81,84.68,84.68,95.654227681,86.327578161,1,WNBA 2020 Regular Season
82,Home,Chicago,8/4/2020,1,79,82,19,24,22,17,,,200,32,69,9,20,9,12,10,30,40,19,15,7,13,2,82,77.28,77.28,106.107660455,99.797877716,2,WNBA 2020 Regular Season
79,Road,Dallas,8/4/2020,0,79,82,20,22,22,15,,,200,29,72,10,28,11,14,9,22,31,12,17,9,10,5,79,79.16,79.16,99.797877716,106.107660455,1,WNBA 2020 Regular Season
87,Home,Seattle,8/4/2020,1,74,87,16,22,23,26,,,200,31,65,11,21,14,18,8,23,31,17,14,10,9,8,87,73.92,73.92,117.694805195,94.532447624,2,WNBA 2020 Regular Season
74,Road,Connecticut,8/4/2020,0,74,87,19,21,13,21,,,200,30,69,7,25,7,12,10,25,35,22,18,7,14,2,74,78.28,78.28,94.532447624,117.694805195,2,WNBA 2020 Regular Season
86,Home,Los Angeles,8/5/2020,1,75,86,20,22,25,19,,,200,31,64,6,17,18,23,4,25,29,16,21,9,12,6,86,82.12,82.12,104.724792986,92.821782178,3+,WNBA 2020 Regular Season
75,Road,Indiana,8/5/2020,0,75,86,17,14,19,25,,,200,26,63,5,18,18,20,6,23,29,17,20,5,15,0,75,80.8,80.8,92.821782178,104.724792986,2,WNBA 2020 Regular Season
66,Home,New York,8/5/2020,0,92,66,22,17,6,21,,,200,25,64,8,26,8,11,9,21,30,18,16,8,22,3,66,81.84,81.84,80.64516129,115.403913698,2,WNBA 2020 Regular Season
92,Road,Minnesota,8/5/2020,1,92,66,20,24,27,21,,,200,36,71,10,21,10,13,11,27,38,22,11,14,14,4,92,79.72,79.72,115.403913698,80.64516129,3+,WNBA 2020 Regular Season
77,Home,Washington,8/5/2020,0,83,77,21,16,22,18,,,200,31,74,8,26,7,11,8,22,30,17,23,7,11,1,77,81.84,81.84,94.086021505,104.797979798,3+,WNBA 2020 Regular Season
83,Road,Las Vegas,8/5/2020,1,83,77,19,16,25,23,,,200,28,57,4,10,23,30,6,32,38,11,17,6,15,0,83,79.2,79.2,104.797979798,94.086021505,2,WNBA 2020 Regular Season
92,Home,Atlanta,8/6/2020,0,93,92,16,23,22,31,,,200,31,68,10,27,20,20,7,30,37,12,22,7,17,5,92,86.8,86.8,105.99078341,105.826126536,1,WNBA 2020 Regular Season
93,Road,Seattle,8/6/2020,1,93,92,31,23,13,26,,,200,31,73,6,21,25,27,8,25,33,21,18,11,11,3,93,87.88,87.88,105.826126536,105.99078341,1,WNBA 2020 Regular Season
68,Home,Dallas,8/6/2020,0,91,68,8,23,17,20,,,200,28,73,8,29,4,9,10,20,30,13,16,9,17,1,68,83.96,83.96,80.990948071,111.683848797,1,WNBA 2020 Regular Season
91,Road,Connecticut,8/6/2020,1,91,68,23,20,26,22,,,200,36,66,5,18,14,17,6,26,32,22,16,9,14,3,91,81.48,81.48,111.683848797,80.990948071,1,WNBA 2020 Regular Season
96,Home,Phoenix,8/6/2020,1,86,96,32,23,25,16,,,200,32,61,10,19,22,26,4,23,27,17,19,8,21,7,96,89.44,89.44,107.334525939,102.332222751,1,WNBA 2020 Regular Season
86,Road,Chicago,8/6/2020,0,86,96,18,31,18,19,,,200,32,70,9,24,13,16,12,22,34,19,28,12,19,4,86,84.04,84.04,102.332222751,107.334525939,1,WNBA 2020 Regular Season
86,Home,Las Vegas,8/7/2020,1,82,86,22,21,20,23,,,200,34,68,4,7,14,16,7,35,42,20,19,6,18,3,86,86.04,86.04,99.953509995,95.928872251,1,WNBA 2020 Regular Season
82,Road,Los Angeles,8/7/2020,0,82,86,19,23,22,18,,,200,30,72,6,20,16,17,7,26,33,18,20,9,13,6,82,85.48,85.48,95.928872251,99.953509995,1,WNBA 2020 Regular Season
87,Home,Minnesota,8/7/2020,1,80,87,18,23,27,19,,,200,32,62,8,16,15,18,10,20,30,20,20,11,13,4,87,72.92,72.92,119.308831596,101.62601626,1,WNBA 2020 Regular Season
80,Road,Indiana,8/7/2020,0,80,87,23,11,23,23,,,200,30,68,10,24,10,13,11,18,29,18,17,2,16,6,80,78.72,78.72,101.62601626,119.308831596,1,WNBA 2020 Regular Season
66,Home,Washington,8/7/2020,0,74,66,14,17,19,16,,,200,23,61,4,16,16,20,1,25,26,12,21,9,14,2,66,82.8,82.8,79.710144928,94.195519348,1,WNBA 2020 Regular Season
74,Road,New York,8/7/2020,1,74,66,18,22,17,17,,,200,22,56,12,32,18,24,6,32,38,16,24,4,18,2,74,78.56,78.56,94.195519348,79.710144928,1,WNBA 2020 Regular Season
93,Home,Connecticut,8/8/2020,0,100,93,22,24,25,22,,,200,35,63,7,14,16,21,4,17,21,22,25,12,19,2,93,87.24,87.24,106.602475928,116.171003717,1,WNBA 2020 Regular Season
100,Road,Chicago,8/8/2020,1,100,93,23,29,27,21,,,200,32,58,7,18,29,32,7,22,29,21,19,12,21,1,100,86.08,86.08,116.171003717,106.602475928,1,WNBA 2020 Regular Season
85,Home,Dallas,8/8/2020,1,75,85,21,20,24,20,,,200,31,67,10,25,13,15,10,29,39,17,15,9,13,4,85,76.6,76.6,110.966057441,96.500257334,1,WNBA 2020 Regular Season
75,Road,Atlanta,8/8/2020,0,75,85,18,24,17,16,,,200,29,71,8,19,9,13,11,20,31,13,13,4,12,7,75,77.72,77.72,96.500257334,110.966057441,1,WNBA 2020 Regular Season
74,Home,Seattle,8/8/2020,1,68,74,19,23,20,12,,,200,25,65,12,24,12,16,8,33,41,19,20,12,19,3,74,83.04,83.04,89.113680154,80.075365049,1,WNBA 2020 Regular Season
68,Road,Phoenix,8/8/2020,0,68,74,16,7,19,26,,,200,24,66,4,20,16,18,7,24,31,16,18,11,18,5,68,84.92,84.92,80.075365049,89.113680154,1,WNBA 2020 Regular Season
91,Home,Indiana,8/9/2020,1,84,91,25,27,18,21,,,200,29,58,8,17,25,31,9,30,39,17,22,4,16,2,91,78.64,78.64,115.717192269,101.793504605,1,WNBA 2020 Regular Season
84,Road,Washington,8/9/2020,0,84,91,28,11,18,27,,,200,26,69,7,21,25,33,10,21,31,16,22,10,9,1,84,82.52,82.52,101.793504605,115.717192269,1,WNBA 2020 Regular Season
97,Home,Los Angeles,8/9/2020,1,81,97,24,24,18,31,,,200,38,58,13,22,8,12,4,26,30,27,22,7,20,1,97,79.28,79.28,122.351160444,100.396628656,1,WNBA 2020 Regular Season
81,Road,Minnesota,8/9/2020,0,81,97,20,18,23,20,,,200,26,64,10,30,19,22,5,15,20,15,13,11,12,1,81,80.68,80.68,100.396628656,122.351160444,1,WNBA 2020 Regular Season
76,Home,New York,8/9/2020,0,78,76,24,20,17,15,,,200,28,64,10,28,10,16,6,24,30,17,23,5,14,3,76,79.04,79.04,96.153846154,101.880877743,1,WNBA 2020 Regular Season
78,Road,Las Vegas,8/9/2020,1,78,76,20,17,21,20,,,200,28,61,1,8,21,24,5,25,30,15,18,6,10,3,78,76.56,76.56,101.880877743,96.153846154,1,WNBA 2020 Regular Season
82,Home,Atlanta,8/10/2020,0,93,82,25,21,15,21,,,200,30,65,11,18,11,16,5,26,31,21,17,3,19,3,82,86.04,86.04,95.30450953,118.020304569,1,WNBA 2020 Regular Season
93,Road,Connecticut,8/10/2020,1,93,82,26,30,25,12,,,200,36,77,9,24,12,20,15,21,36,19,15,15,8,6,93,78.8,78.8,118.020304569,95.30450953,1,WNBA 2020 Regular Season
79,Home,Dallas,8/10/2020,0,91,79,21,17,16,25,,,200,28,74,7,26,16,21,9,25,34,20,17,9,8,4,79,82.24,82.24,96.060311284,108.281770585,1,WNBA 2020 Regular Season
91,Road,Phoenix,8/10/2020,1,91,79,22,22,24,23,,,200,35,74,6,22,15,16,8,32,40,27,15,5,11,5,91,84.04,84.04,108.281770585,96.060311284,1,WNBA 2020 Regular Season
89,Home,Seattle,8/10/2020,1,71,89,33,13,25,18,,,200,36,70,9,17,8,13,6,22,28,25,13,17,13,5,89,82.72,82.72,107.591876209,85.131894484,1,WNBA 2020 Regular Season
71,Road,Chicago,8/10/2020,0,71,89,18,10,28,15,,,200,28,64,7,19,8,10,6,21,27,18,10,8,21,5,71,83.4,83.4,85.131894484,107.591876209,1,WNBA 2020 Regular Season
79,Home,Indiana,8/11/2020,0,98,79,31,28,13,7,,,200,34,71,3,18,8,12,5,26,31,16,17,6,11,2,79,82.28,82.28,96.013612056,114.379084967,1,WNBA 2020 Regular Season
98,Road,Las Vegas,8/11/2020,1,98,79,33,27,21,17,,,200,39,75,4,8,16,22,8,29,37,20,9,7,9,3,98,85.68,85.68,114.379084967,96.013612056,1,WNBA 2020 Regular Season
93,Home,Los Angeles,8/11/2020,1,78,93,28,23,23,19,,,200,35,71,11,17,12,15,4,22,26,19,18,10,16,5,93,89.6,89.6,103.794642857,89.531680441,1,WNBA 2020 Regular Season
78,Road,New York,8/11/2020,0,78,93,14,20,28,16,,,200,24,60,8,23,22,23,9,26,35,12,20,10,26,5,78,87.12,87.12,89.531680441,103.794642857,1,WNBA 2020 Regular Season
68,Home,Minnesota,8/11/2020,1,48,68,18,30,4,16,,,200,26,67,6,20,10,15,14,28,42,16,15,6,14,2,68,73.6,73.6,92.391304348,67.11409396,1,WNBA 2020 Regular Season
48,Road,Washington,8/11/2020,0,48,68,11,16,17,4,,,200,18,61,4,19,8,8,9,22,31,14,15,8,16,5,48,71.52,71.52,67.11409396,92.391304348,1,WNBA 2020 Regular Season
89,Home,Chicago,8/12/2020,1,71,89,17,25,22,25,,,200,36,66,1,11,16,20,12,26,38,20,21,9,15,2,89,77.8,77.8,114.395886889,91.636551368,1,WNBA 2020 Regular Season
71,Road,Phoenix,8/12/2020,0,71,89,14,22,14,21,,,200,27,65,7,19,10,17,9,17,26,17,16,7,14,3,71,77.48,77.48,91.636551368,114.395886889,1,WNBA 2020 Regular Season
70,Home,Connecticut,8/12/2020,1,66,70,15,10,21,24,,,200,24,64,5,16,17,21,9,19,28,19,17,8,9,3,70,73.24,73.24,95.576187875,96.660808436,1,WNBA 2020 Regular Season
66,Road,Dallas,8/12/2020,0,66,70,20,14,15,17,,,200,25,59,5,19,11,12,9,23,32,11,21,6,13,3,66,68.28,68.28,96.660808436,95.576187875,1,WNBA 2020 Regular Season
100,Home,Seattle,8/12/2020,1,63,100,23,24,26,27,,,200,35,62,18,30,12,13,2,32,34,31,11,6,12,3,100,77.72,77.72,128.667009779,80.316165222,1,WNBA 2020 Regular Season
63,Road,Atlanta,8/12/2020,0,63,100,14,14,18,17,,,200,27,74,8,29,1,1,10,20,30,18,12,6,14,2,63,78.44,78.44,80.316165222,128.667009779,1,WNBA 2020 Regular Season
87,Home,Las Vegas,8/13/2020,1,77,87,27,26,16,18,,,200,34,70,2,13,17,21,12,22,34,17,14,11,11,6,87,78.24,78.24,111.196319018,93.355965082,1,WNBA 2020 Regular Season
77,Road,Minnesota,8/13/2020,0,77,87,22,15,23,17,,,200,29,66,7,22,12,17,10,22,32,19,21,6,19,7,77,82.48,82.48,93.355965082,111.196319018,1,WNBA 2020 Regular Season
79,Home,New York,8/13/2020,0,86,79,17,23,22,17,,,200,24,68,10,26,21,26,8,23,31,12,18,6,7,4,79,78.44,78.44,100.713921469,108.971109985,1,WNBA 2020 Regular Season
86,Road,Indiana,8/13/2020,1,86,79,27,24,18,17,,,200,33,72,6,16,14,18,10,31,41,13,19,4,9,3,86,78.92,78.92,108.971109985,100.713921469,1,WNBA 2020 Regular Season
64,Home,Washington,8/13/2020,0,81,64,19,15,16,14,,,200,25,60,7,25,7,10,6,26,32,17,16,7,21,1,64,79.4,79.4,80.604534005,105.304212168,1,WNBA 2020 Regular Season
81,Road,Los Angeles,8/13/2020,1,81,64,26,21,17,17,,,200,31,64,6,19,13,18,7,27,34,18,19,10,12,2,81,76.92,76.92,105.304212168,80.604534005,1,WNBA 2020 Regular Season
74,Home,Chicago,8/14/2020,0,77,74,18,10,17,29,,,200,28,61,4,20,14,17,6,26,32,18,18,3,15,8,74,77.48,77.48,95.508518327,93.265503876,1,WNBA 2020 Regular Season
77,Road,Connecticut,8/14/2020,1,77,74,19,18,18,22,,,200,29,76,5,15,14,24,12,24,36,17,18,9,8,3,77,82.56,82.56,93.265503876,95.508518327,1,WNBA 2020 Regular Season
65,Home,Dallas,8/14/2020,0,83,65,16,15,12,22,,,200,24,74,9,28,8,12,12,25,37,14,16,9,12,2,65,79.28,79.28,81.987891019,103.285216526,1,WNBA 2020 Regular Season
83,Road,Seattle,8/14/2020,1,83,65,27,17,19,20,,,200,31,68,5,18,16,19,10,36,46,20,14,10,14,5,83,80.36,80.36,103.285216526,81.987891019,1,WNBA 2020 Regular Season
96,Home,Phoenix,8/14/2020,1,80,96,19,25,28,24,,,200,32,65,12,25,20,23,4,26,30,24,17,9,10,4,96,81.12,81.12,118.343195266,96.33911368,1,WNBA 2020 Regular Season
80,Road,Atlanta,8/14/2020,0,80,96,12,22,17,29,,,200,32,76,8,20,8,16,12,23,35,22,18,5,12,8,80,83.04,83.04,96.33911368,118.343195266,1,WNBA 2020 Regular Season
76,Home,Indiana,8/15/2020,0,90,76,18,14,22,22,,,200,24,58,9,17,19,21,11,21,32,17,14,5,22,1,76,78.24,78.24,97.137014315,117.677824268,1,WNBA 2020 Regular Season
90,Road,Los Angeles,8/15/2020,1,90,76,22,30,25,13,,,200,33,61,11,19,13,17,5,16,21,25,24,14,13,1,90,76.48,76.48,117.677824268,97.137014315,1,WNBA 2020 Regular Season
88,Home,Las Vegas,8/15/2020,1,73,88,24,19,23,22,,,200,35,65,6,13,12,15,3,26,29,21,12,10,10,2,88,78.6,78.6,111.959287532,88.463402811,1,WNBA 2020 Regular Season
73,Road,Washington,8/15/2020,0,73,88,13,18,16,26,,,200,29,76,8,28,7,8,15,24,39,19,17,6,18,3,73,82.52,82.52,88.463402811,111.959287532,1,WNBA 2020 Regular Season
94,Home,Minnesota,8/15/2020,1,64,94,25,17,26,26,,,200,36,71,6,13,16,18,8,31,39,24,24,12,16,4,94,86.92,86.92,108.145421077,74.696545285,1,WNBA 2020 Regular Season
64,Road,New York,8/15/2020,0,64,94,20,13,16,15,,,200,20,66,6,22,18,22,9,22,31,12,20,6,19,4,64,85.68,85.68,74.696545285,108.145421077,1,WNBA 2020 Regular Season
67,Home,Atlanta,8/16/2020,0,92,67,14,23,16,14,,,200,27,68,2,14,11,18,8,18,26,11,13,6,16,2,67,83.92,83.92,79.837940896,113.188976378,1,WNBA 2020 Regular Season
92,Road,Chicago,8/16/2020,1,92,67,21,25,23,23,,,200,37,64,7,14,11,12,5,32,37,25,19,7,17,6,92,81.28,81.28,113.188976378,79.837940896,1,WNBA 2020 Regular Season
72,Home,Connecticut,8/16/2020,0,95,72,16,17,21,18,,,200,28,77,3,20,13,17,16,23,39,15,11,6,11,2,72,79.48,79.48,90.588827378,124.541164132,1,WNBA 2020 Regular Season
95,Road,Seattle,8/16/2020,1,95,72,21,21,27,26,,,200,37,65,13,23,8,12,5,27,32,25,12,5,11,5,95,76.28,76.28,124.541164132,90.588827378,1,WNBA 2020 Regular Season
89,Home,Phoenix,8/16/2020,0,95,89,27,17,24,21,,,200,33,67,9,25,14,17,8,24,32,25,19,7,14,3,89,80.48,80.48,110.586481113,119.526925013,1,WNBA 2020 Regular Season
95,Road,Dallas,8/16/2020,1,95,89,28,16,25,26,,,200,34,69,12,27,15,17,7,27,34,18,19,9,10,3,95,79.48,79.48,119.526925013,110.586481113,1,WNBA 2020 Regular Season
84,Home,Chicago,8/18/2020,1,82,84,15,24,25,20,,,200,37,72,8,25,2,5,5,29,34,25,20,2,14,10,84,83.2,83.2,100.961538462,95.839177186,1,WNBA 2020 Regular Season
