F,VENUE,TEAMS,DATE,Win,Road PTS,Home PTS,1Q,2Q,3Q,4Q,OT1,OT2,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,AST,PF,STL,TO,BLK,PTS,POSS,PACE,OEFF,DEFF,TEAM REST DAYS,DATASET
75,Road,Atlanta,6/1/2019,0,75,96,16,19,14,26,,,200,30,71,5,21,10,17,12,16,28,9,19,5,13,1,75,79.48,79.48,94.363361852,123.520329388,B2B,WNBA 2019 Regular Season
74,Home,Las Vegas,6/2/2019,0,80,74,24,19,18,13,,,200,28,64,3,9,15,20,6,33,39,23,20,6,21,5,74,87.8,87.8,84.282460137,93.984962406,1,WNBA 2019 Regular Season
80,Road,Connecticut,6/2/2019,1,80,74,18,22,21,19,,,200,26,77,8,26,20,23,11,28,39,17,19,14,9,8,80,85.12,85.12,93.984962406,84.282460137,1,WNBA 2019 Regular Season
73,Home,New York,6/4/2019,0,78,73,19,15,21,18,,,200,27,68,5,15,14,18,9,31,40,15,18,7,16,8,73,82.92,82.92,88.036661843,90.909090909,2,WNBA 2019 Regular Season
78,Road,Los Angeles,6/4/2019,1,78,73,16,20,21,21,,,200,27,78,8,21,16,20,13,27,40,15,15,9,12,6,78,85.8,85.8,90.909090909,88.036661843,3+,WNBA 2019 Regular Season
84,Home,Seattle,6/4/2019,1,77,84,25,24,14,21,,,200,32,54,7,13,13,16,8,20,28,16,16,7,20,5,84,73.04,73.04,115.005476451,104.449267499,2,WNBA 2019 Regular Season
77,Road,Minnesota,6/4/2019,0,77,84,19,20,23,15,,,200,29,57,8,17,11,13,3,14,17,17,15,16,14,1,77,73.72,73.72,104.449267499,115.005476451,2,WNBA 2019 Regular Season
103,Home,Washington,6/5/2019,1,85,103,27,30,26,20,,,200,43,86,13,34,4,8,16,19,35,28,10,13,11,3,103,84.52,84.52,121.864647421,107.377463365,3+,WNBA 2019 Regular Season
85,Road,Chicago,6/5/2019,0,85,103,25,17,16,27,,,200,34,68,6,20,11,14,12,20,32,20,11,7,17,3,85,79.16,79.16,107.377463365,121.864647421,3+,WNBA 2019 Regular Season
69,Home,Atlanta,6/6/2019,0,92,69,13,12,24,20,,,200,24,72,5,23,16,19,9,24,33,18,15,12,15,8,69,86.36,86.36,79.898100973,102.404274265,3+,WNBA 2019 Regular Season
92,Road,Las Vegas,6/6/2019,1,92,69,25,24,28,15,,,200,39,76,7,19,7,11,12,35,47,27,22,9,21,3,92,89.84,89.84,102.404274265,79.898100973,3+,WNBA 2019 Regular Season
89,Home,Connecticut,6/6/2019,1,77,89,23,20,22,24,,,200,34,73,4,15,17,20,14,24,38,20,12,13,17,11,89,84.8,84.8,104.952830189,90.290806754,3+,WNBA 2019 Regular Season
77,Road,Los Angeles,6/6/2019,0,77,89,11,21,20,25,,,200,29,66,8,25,11,12,7,18,25,23,18,13,21,4,77,85.28,85.28,90.290806754,104.952830189,1,WNBA 2019 Regular Season
58,Home,Minnesota,6/6/2019,1,56,58,17,15,17,9,,,200,25,62,5,14,3,4,9,26,35,13,17,9,17,4,58,71.76,71.76,80.824972129,80.552359033,1,WNBA 2019 Regular Season
56,Road,Phoenix,6/6/2019,0,56,58,17,7,12,20,,,200,21,57,6,26,8,8,7,18,25,9,16,8,16,4,56,69.52,69.52,80.552359033,80.824972129,3+,WNBA 2019 Regular Season
79,Home,Indiana,6/7/2019,1,64,79,22,16,19,22,,,200,28,68,3,16,20,21,10,29,39,20,16,4,10,7,79,77.24,77.24,102.278612118,85.151676424,3+,WNBA 2019 Regular Season
64,Road,Dallas,6/7/2019,0,64,79,12,14,22,16,,,200,25,71,1,12,13,14,12,20,32,16,18,7,10,5,64,75.16,75.16,85.151676424,102.278612118,3+,WNBA 2019 Regular Season
85,Home,New York,6/7/2019,0,94,85,26,23,19,17,,,200,33,72,9,27,10,11,10,25,35,16,25,7,17,5,85,83.84,83.84,101.383587786,121.572684946,2,WNBA 2019 Regular Season
94,Road,Washington,6/7/2019,1,94,85,20,30,22,22,,,200,30,67,7,17,27,28,9,20,29,22,13,6,7,6,94,77.32,77.32,121.572684946,101.383587786,1,WNBA 2019 Regular Season
